,Close_True,Surprise_Factor,Surprise_Factor_Z,Anomaly_Prob
2026-02-02,78738.61,13.137932,-0.1759492,0.35915285
2026-02-03,75770.21,18.582985,0.35813618,0.39341405
2026-02-04,73165.83,19.68006,0.4657442,0.48376963
2026-02-05,62909.86,38.900997,2.3510559,0.52837586
2026-02-06,70580.26,19.686787,0.46640405,0.5606394
2026-02-07,69289.38,26.506428,1.1353177,0.4850577
2026-02-08,70330.38,23.250198,0.8159261,0.40592602
2026-02-09,70138.0,23.181353,0.8091733,0.27647224
2026-02-10,68841.29,25.37029,1.0238782,0.2071514
2026-02-11,67082.52,28.137,1.2952545,0.18154816
2026-02-12,66272.17,28.982788,1.3782148,0.16726841
2026-02-13,68853.96,23.78677,0.86855644,0.15114571
2026-02-14,69822.95,23.905598,0.88021183,0.106299415
2026-02-15,68832.58,27.305395,1.2136855,0.09401899
2026-02-16,68892.43,27.364185,1.219452,0.095756106
2026-02-17,67503.52,30.86178,1.5625184,0.08322849
2026-02-18,66461.0,32.414875,1.7148558,0.09245577
2026-02-19,67003.73,31.151333,1.5909195,0.09556141
2026-02-20,68020.01,29.693043,1.4478811,0.086900614
2026-02-21,67975.93,28.76072,1.3564329,0.0859615
2026-02-22,67643.4,29.594374,1.4382031,0.09086818
2026-02-23,64656.02,35.00524,1.9689353,0.09491335
2026-02-24,64058.152,32.04989,1.6790556,0.13590315
2026-02-25,67988.04,21.861818,0.67974496,0.14072755
2026-02-26,67485.18,25.83411,1.0693725,0.09382771
2026-02-27,65872.1,29.057602,1.3855531,0.09377739
2026-02-28,66973.26,25.259277,1.0129893,0.1028148
2026-03-01,65776.47,28.136131,1.2951694,0.081533566
2026-03-02,68830.06,21.27443,0.6221301,0.08781162
2026-03-03,68338.0,22.906157,0.78218025,0.06493218
2026-03-04,72666.77,15.43742,0.04959919,0.06583427
2026-03-05,70890.72,19.64074,0.46188745,0.05230552
2026-03-06,68114.02,24.417385,0.93041116,0.053917833
2026-03-07,67262.914,24.546669,0.94309217,0.05958826
2026-03-08,65971.2,26.087496,1.0942262,0.05921717
2026-03-09,68432.164,19.324121,0.43083155,0.06635827
2026-03-10,69948.63,17.423466,0.24440317,0.049120385
2026-03-11,70191.86,17.584648,0.26021296,0.042504407
2026-03-12,70541.336,17.260548,0.22842313,0.03829482
2026-03-13,70930.0,16.37312,0.14137854,0.034723822
2026-03-14,71211.95,15.271631,0.033337586,0.031405643
2026-03-15,72815.24,12.82368,-0.20677301,0.02860174
2026-03-16,74884.67,9.413152,-0.5412993,0.02522642
2026-03-17,73909.36,10.363781,-0.4480555,0.021454388
2026-03-18,71246.54,13.618546,-0.12880754,0.01923794
2026-03-19,69930.0,12.618746,-0.22687425,0.02308419
2026-03-20,70510.73,8.162754,-0.6639462,0.027014852
2026-03-21,68918.12,9.107854,-0.57124484,0.026229309
2026-03-22,67859.0,8.170872,-0.66314995,0.03282139
2026-03-23,70906.45,0.77375275,-1.3887063,0.04196635
2026-03-24,70556.74,2.5459118,-1.2148818,0.03612247
2026-03-25,71336.53,1.9830631,-1.2700895,0.03659197
2026-03-26,68820.31,6.101737,-0.8661038,0.032757904
2026-03-27,66407.28,6.6600614,-0.8113399,0.04192517
2026-03-28,66377.03,0.5575394,-1.409914,0.05504141
2026-03-29,66010.93,1.6591713,-1.3018589,0.057061344
2026-03-30,66797.37,3.1304505,-1.1575465,0.06463377
2026-03-31,68284.48,5.4839396,-0.92670125,0.060086675
2026-04-01,68113.92,4.1801004,-1.0545901,0.05136818
2026-04-02,66901.99,2.1847022,-1.2503115,0.052000284
2026-04-03,66964.3,3.927886,-1.0793289,0.057165083
2026-04-04,67300.42,4.4884624,-1.0243441,0.054905683
2026-04-05,69034.18,5.9789395,-0.8781486,0.053960048
2026-04-06,68853.66,3.8027666,-1.0916014,0.04529822
2026-04-07,71924.22,8.644808,-0.61666334,0.04215309
2026-04-08,71069.93,5.3207717,-0.9427058,0.031437658
2026-04-09,71787.97,6.40149,-0.83670217,0.027680552
2026-04-10,72962.7,8.248457,-0.65553993,0.021283707
2026-04-11,73043.16,8.440665,-0.6366869,0.01662928
2026-04-12,70740.98,5.302664,-0.944482,0.01439112
2026-04-13,74417.99,10.910815,-0.39439893,0.015090967
2026-04-14,74131.55,9.432588,-0.5393929,0.013884178
2026-04-15,74809.99,10.148304,-0.46919087,0.012233557
2026-04-16,75154.29,10.08412,-0.47548646,0.012035265
2026-04-17,77072.0,12.2307205,-0.26493424,0.011489181
2026-04-18,75691.76,9.839992,-0.49943212,0.0111003425
2026-04-19,73801.79,5.8589892,-0.88991404,0.011850814
2026-04-20,75840.97,7.8584976,-0.6937896,0.013631455
2026-04-21,76336.15,7.232249,-0.75521606,0.014396862
2026-04-22,78178.23,8.065975,-0.6734389,0.0144425165
2026-04-23,78257.48,6.6371956,-0.81358266,0.014862965
2026-04-24,77437.13,4.3966913,-1.0333456,0.01484276
2026-04-25,77625.0,3.951731,-1.0769901,0.01533317
2026-04-26,78657.55,4.2221794,-1.0504627,0.016988613
2026-04-27,77371.32,1.7650274,-1.2914759,0.017882638
2026-04-28,76342.77,0.31691974,-1.4335154,0.017381094
2026-04-29,76642.21,1.0068904,-1.3658388,0.018703485
