,verdict,Anomaly_Prob,Surprise_Factor,Surprise_Factor_Z,Close_True,externality_score
2026-02-02,internal_mechanics,0.35414207,0.34290674,-2.5656383,78738.61,0.0
2026-02-03,internal_mechanics,0.40214667,1.8284416,-2.3721864,75770.21,0.04349304
2026-02-04,internal_mechanics,0.43403715,4.6731386,-2.0017395,73165.83,0.1267792
2026-02-05,internal_mechanics,0.45683244,22.953129,0.3787491,62909.86,0.66197526
2026-02-06,internal_mechanics,0.4586722,10.032229,-1.3038586,70580.26,0.28368106
2026-02-07,internal_mechanics,0.4534318,16.466211,-0.46600148,69289.38,0.47205326
2026-02-08,internal_mechanics,0.42887878,18.555824,-0.1938843,70330.38,0.5332323
2026-02-09,internal_mechanics,0.3833516,22.725399,0.3490933,70138.0,0.6553078
2026-02-10,internal_mechanics,0.34245875,27.149721,0.925245,68841.29,0.78484184
2026-02-11,external_shock,0.30328724,31.79102,1.5296522,67082.52,0.92072845
2026-02-12,external_shock,0.26740536,34.498596,1.8822429,66272.17,1.0
2026-02-13,external_shock,0.23991266,29.412567,1.2199212,68853.96,0.8510928
