,Anomaly_True,Anomaly_Prob,Anomaly_Pred,Close_True,Close_Pred,Price_Error,Surprise_Factor,Surprise_Factor_Z
2026-01-09,0,0.008562951,0,90641.28,105636.08,14994.797,16.54301,0.30007568
2026-01-10,0,0.008781079,0,90504.7,105488.04,14983.336,16.555313,0.3016506
2026-01-11,0,0.009317202,0,91013.65,105113.734,14100.086,15.492277,0.1655629
2026-01-12,0,0.007833858,0,91296.2,106149.57,14853.367,16.269424,0.26505172
2026-01-13,0,0.006471683,0,95414.0,106949.28,11535.281,12.089716,-0.27002606
2026-01-14,0,0.00580242,0,96951.78,108424.664,11472.883,11.833597,-0.30281386
2026-01-15,0,0.0055892863,0,95604.8,108765.68,13160.883,13.7659235,-0.055441372
2026-01-16,0,0.006074631,0,95550.94,108076.38,12525.445,13.108657,-0.1395833
2026-01-17,0,0.0059922896,0,95147.766,108459.79,13312.023,13.990894,-0.026641067
2026-01-18,0,0.0059532756,0,93673.14,108331.625,14658.484,15.648545,0.18556803
2026-01-19,0,0.0061339894,0,92631.0,107903.67,15272.672,16.487646,0.292988
2026-01-20,0,0.00626782,0,88427.66,107776.516,19348.86,21.881004,0.98343474
2026-01-21,0,0.0081268,0,89454.73,106135.625,16680.898,18.647308,0.56946355
2026-01-22,0,0.0069647254,0,89559.67,107255.02,17695.352,19.75817,0.71167374
2026-01-23,0,0.007217441,0,89600.26,106736.75,17136.492,19.125494,0.6306799
2026-01-24,0,0.006761804,0,89225.34,106885.586,17660.242,19.792854,0.71611404
2026-01-25,0,0.00743502,0,86670.36,106003.42,19333.062,22.306429,1.0378968
2026-01-26,0,0.008857354,0,88347.08,104928.21,16581.133,18.768173,0.58493644
2026-01-27,0,0.007494266,0,89250.0,106127.93,16877.93,18.910847,0.6032012
2026-01-28,0,0.007455529,0,89299.99,106121.71,16821.719,18.837313,0.59378755
2026-01-29,0,0.0074910317,0,84650.16,106066.086,21415.93,25.299337,1.4210428
2026-01-30,0,0.012290564,0,84260.49,103216.836,18956.344,22.49731,1.062333
2026-01-31,0,0.016898215,0,78741.086,101971.03,23229.945,29.501682,1.9590185
2026-02-01,0,0.039650302,0,76968.21,98041.95,21073.742,27.379799,1.6873792
2026-02-02,0,0.06611671,0,78738.61,95195.79,16457.18,20.90103,0.8579804
2026-02-03,0,0.09643325,0,75770.21,92798.96,17028.75,22.474201,1.0593746
2026-02-04,0,0.19482915,0,73165.83,88557.22,15391.391,21.03631,0.87529874
2026-02-05,0,0.3223322,1,62909.86,86642.81,23732.953,37.725334,3.0117936
2026-02-06,0,0.42533693,1,70580.26,86419.37,15839.109,22.441275,1.0551594
2026-02-07,0,0.4950695,1,69289.38,89481.24,20191.86,29.141346,1.9128889
2026-02-08,0,0.53711027,1,70330.38,90943.07,20612.688,29.308367,1.9342706
2026-02-09,0,0.44427428,1,70138.0,89382.67,19244.672,27.438295,1.6948678
2026-02-10,0,0.32808328,1,68841.29,87947.65,19106.36,27.754215,1.7353113
2026-02-11,0,0.23447683,0,67082.52,85538.38,18455.86,27.512173,1.7043254
2026-02-12,0,0.20478153,0,66272.17,83026.89,16754.719,25.28168,1.4187822
2026-02-13,0,0.18263583,0,68853.96,81239.695,12385.734,17.988413,0.4851131
2026-02-14,0,0.10893449,0,69822.95,80624.25,10801.297,15.469549,0.16265331
2026-02-15,0,0.059710287,0,68832.58,80413.29,11580.711,16.824461,0.33610636
2026-02-16,0,0.046933547,0,68892.43,79949.125,11056.695,16.049217,0.23686124
2026-02-17,0,0.0299239,0,67503.516,80050.75,12547.234,18.587526,0.5618104
2026-02-18,0,0.023277203,0,66461.0,79020.47,12559.469,18.897503,0.60149294
2026-02-19,0,0.018936222,0,67003.73,78405.055,11401.328,17.01596,0.36062178
2026-02-20,0,0.0137607455,0,68020.01,78374.84,10354.836,15.223222,0.13111898
2026-02-21,0,0.015697164,0,67975.93,78584.164,10608.234,15.605868,0.18010461
2026-02-22,0,0.013648493,0,67643.4,78916.22,11272.82,16.665071,0.31570163
2026-02-23,0,0.01160096,0,64656.02,78153.68,13497.66,20.876108,0.85479
2026-02-24,0,0.016371725,0,64058.15,75590.66,11532.508,18.003187,0.4870045
2026-02-25,0,0.022490047,0,67988.04,74456.414,6468.375,9.513989,-0.5997653
2026-02-26,0,0.026783496,0,67485.18,75523.76,8038.578,11.91162,-0.29282552
2026-02-27,0,0.027125297,0,65872.1,74302.195,8430.094,12.79767,-0.17939517
2026-02-28,0,0.031395197,0,66973.26,72793.94,5820.6797,8.691051,-0.7051163
2026-03-01,0,0.03237968,0,65776.47,72297.39,6520.922,9.913761,-0.5485874
2026-03-02,0,0.03671303,0,68830.06,71403.414,2573.3516,3.7387028,-1.3391057
2026-03-03,0,0.040768795,0,68338.0,72414.29,4076.289,5.964894,-1.0541133
2026-03-04,0,0.043581564,0,72666.77,71750.27,916.5,1.2612367,-1.6562659
2026-03-05,0,0.0702447,0,70890.72,74022.73,3132.0078,4.418079,-1.2521335
2026-03-06,0,0.06538558,0,68114.02,73230.23,5116.203,7.5112333,-0.8561541
