,Anomaly_True,Anomaly_Prob,Anomaly_Pred,Close_True,Close_Pred,Price_Error,Surprise_Factor,Surprise_Factor_Z
2025-12-23,0,0.05105276,0,272.10538,253.17986,18.925522,6.9552174,1.6723155
2025-12-24,0,0.04899765,0,273.55402,254.41252,19.141495,6.9973364,1.6940424
2025-12-26,0,0.046101294,0,273.1444,255.40822,17.73619,6.493338,1.4340564
2025-12-29,0,0.04347359,0,273.5041,255.49245,18.011642,6.5855117,1.4816039
2025-12-30,0,0.04004898,0,272.8247,256.22427,16.600433,6.084652,1.2232368
2025-12-31,0,0.037442207,0,271.60583,256.24997,15.3558655,5.653732,1.0009478
2026-01-02,0,0.035189938,0,270.75665,255.66174,15.09491,5.5750837,0.96037745
2026-01-05,0,0.038309112,0,267.01016,254.08336,12.926804,4.8413153,0.58186513
2026-01-06,0,0.040334005,0,262.11472,253.13704,8.977676,3.4250946,-0.14868824
2026-01-07,0,0.04558661,0,260.0866,251.59415,8.492462,3.2652438,-0.23114684
2026-01-08,0,0.050242476,0,258.79785,251.01227,7.7855835,3.008365,-0.36365706
2026-01-09,0,0.05423839,0,259.12753,250.46751,8.660019,3.3419912,-0.1915569
2026-01-12,0,0.05682604,0,260.0067,250.34929,9.657425,3.7142985,0.0004967467
2026-01-13,0,0.059356965,0,260.80594,250.494,10.311935,3.953873,0.12408053
2026-01-14,0,0.059565853,0,259.71698,251.05928,8.6577,3.333513,-0.19593035
2026-01-15,0,0.06175566,0,257.9686,250.12639,7.842209,3.039986,-0.34734547
2026-01-16,0,0.064145975,0,255.29112,249.1135,6.1776276,2.4198365,-0.6672477
2026-01-20,1,0.07246964,0,246.46938,247.43922,0.96984863,0.3934966,-1.7125294
2026-01-21,0,0.10348104,0,247.41849,243.2165,4.2019806,1.6983293,-1.0394351
2026-01-22,0,0.12256902,0,248.11784,243.46991,4.647934,1.8732767,-0.94918907
2026-01-23,0,0.13218349,0,247.80812,243.27861,4.5295105,1.8278297,-0.97263277
2026-01-26,0,0.14283817,0,255.17123,242.17781,12.993423,5.092041,0.71120125
2026-01-27,0,0.1382898,0,258.02853,244.02681,14.001724,5.426425,0.88369226
2026-01-28,0,0.12918387,0,256.2003,245.50226,10.698029,4.17565,0.23848367
2026-01-29,0,0.11813479,0,258.03854,246.34077,11.697769,4.533342,0.42299792
2026-01-30,0,0.109887265,0,259.23743,248.04976,11.187668,4.315607,0.31068006
2026-02-02,1,0.1127307,0,269.7576,249.40785,20.349747,7.543716,1.9758908
2026-02-03,0,0.11151904,0,269.2281,252.24446,16.983627,6.308267,1.338588
2026-02-04,0,0.09898302,0,276.2315,254.19783,22.033676,7.9765253,2.1991541
2026-02-05,0,0.095065735,0,275.65207,255.6474,20.00467,7.2572174,1.8281013
2026-02-06,0,0.084943034,0,277.86,256.6586,21.201385,7.630241,2.0205245
2026-02-09,0,0.073570885,0,274.62,257.94632,16.673676,6.0715446,1.2164754
2026-02-10,0,0.06471069,0,273.68,258.5644,15.115601,5.523093,0.93355834
2026-02-11,0,0.055399537,0,275.5,259.17236,16.327637,5.926547,1.1416788
2026-02-12,1,0.052211333,0,261.73,259.55377,2.176239,0.83148235,-1.4865956
2026-02-13,0,0.0649583,0,255.78,256.22818,0.44818115,0.17522134,-1.8251259
2026-02-17,0,0.075690575,0,263.88,254.2995,9.580505,3.6306295,-0.04266364
2026-02-18,0,0.08354896,0,264.35,254.67302,9.676987,3.6606722,-0.027166225
2026-02-19,0,0.08422975,0,260.58,254.15514,6.4248505,2.4655962,-0.6436427
2026-02-20,0,0.08837258,0,264.58,252.8298,11.750183,4.44107,0.3753998
2026-02-23,0,0.088048354,0,266.18,253.28441,12.895584,4.8446856,0.5836037
2026-02-24,0,0.08907095,0,272.14,252.96048,19.179535,7.047672,1.7200078
2026-02-25,0,0.087936655,0,274.23,253.86064,20.36937,7.427841,1.9161171
2026-02-26,0,0.07996798,0,272.95,255.02165,17.92836,6.568368,1.4727603
2026-02-27,0,0.07464186,0,264.18,255.4789,8.701096,3.2936242,-0.2165069
2026-03-02,0,0.08367296,0,264.72,253.63672,11.083282,4.1867948,0.2442326
2026-03-03,0,0.08452722,0,263.75,253.62808,10.121918,3.837694,0.06414993
2026-03-04,0,0.08658283,0,262.52,253.09193,9.428055,3.5913665,-0.06291735
2026-03-05,0,0.08949959,0,260.29,252.05841,8.231598,3.1624715,-0.2841616
2026-03-06,0,0.09479236,0,257.46,250.9565,6.5034943,2.5260215,-0.61247253
2026-03-09,0,0.10337996,0,259.88,249.62927,10.250732,3.9444096,0.11919891
2026-03-10,0,0.10824068,0,260.83,249.42014,11.409851,4.37444,0.34102896
2026-03-11,0,0.10433777,0,260.81,249.31786,11.492142,4.4063272,0.35747778
2026-03-12,0,0.09582506,0,255.76,249.36093,6.399063,2.5019796,-0.6248745
2026-03-13,0,0.099227525,0,250.12,247.31917,2.800827,1.1197933,-1.3378712
2026-03-16,0,0.11483788,0,252.82,244.82777,7.9922333,3.1612344,-0.28479978
2026-03-17,0,0.11831516,0,254.23,245.15749,9.07251,3.5686228,-0.074649625
2026-03-18,0,0.11456117,0,249.94,245.75522,4.184784,1.6743153,-1.0518227
2026-03-19,0,0.12542944,0,248.96,244.25793,4.702072,1.8886857,-0.9412404
2026-03-20,0,0.13281326,0,247.99,244.25531,3.7346954,1.5059862,-1.1386548
2026-03-23,0,0.14514111,0,251.49,244.55013,6.9398804,2.7595055,-0.49203047
2026-03-24,0,0.14074317,0,251.64,246.03517,5.604828,2.22732,-0.76655686
2026-03-25,0,0.13761777,0,252.62,246.63815,5.981842,2.3679209,-0.69402826
2026-03-26,0,0.12526569,0,252.89,247.42892,5.461075,2.1594665,-0.80155885
2026-03-27,0,0.118962474,0,248.8,247.87361,0.9263916,0.3723439,-1.7234409
2026-03-30,0,0.12172469,0,246.63,247.24684,0.61683655,0.25010604,-1.786497
2026-03-31,0,0.124323405,0,253.79,246.63184,7.1581573,2.8205042,-0.46056446
2026-04-01,0,0.11795677,0,255.63,247.95888,7.6711273,3.0008712,-0.3675227
2026-04-02,0,0.10053982,0,255.92,249.66698,6.2530212,2.4433498,-0.65511847
2026-04-06,0,0.08676271,0,258.86,250.86179,7.9981995,3.0897784,-0.32166013
2026-04-07,0,0.07463142,0,253.5,253.25124,0.24876404,0.09813177,-1.8648925
2026-04-08,0,0.07857815,0,258.9,251.25476,7.645233,2.952968,-0.39223346
2026-04-09,0,0.068054624,0,260.49,254.0784,6.4115906,2.4613578,-0.6458291
2026-04-10,0,0.058246944,0,260.48,255.6739,4.8061066,1.8450961,-0.9637259
2026-04-13,0,0.049430437,0,259.2,256.92114,2.2788696,0.8791935,-1.461984
2026-04-14,0,0.043579392,0,258.83,256.77576,2.0542297,0.79365987,-1.5061063
2026-04-15,0,0.041387875,0,266.43,256.57758,9.852417,3.6979384,-0.007942535
2026-04-16,0,0.041579627,0,263.4,258.87872,4.5212708,1.7165037,-1.0300599
2026-04-17,0,0.040155694,0,270.23,258.05957,12.170441,4.503734,0.40772486
2026-04-20,0,0.040940914,0,273.05,260.0726,12.977386,4.752751,0.5361794
2026-04-21,0,0.03791397,0,266.17,261.0102,5.1598206,1.9385431,-0.91552156
2026-04-22,0,0.03919653,0,273.17,259.1849,13.985107,5.1195617,0.7253977
2026-04-23,0,0.0396054,0,273.43,260.92462,12.505371,4.5735183,0.4437228
2026-04-24,0,0.03781804,0,271.06,260.75476,10.305237,3.8018286,0.045648918
2026-04-27,0,0.036379926,0,267.61,260.30472,7.3052673,2.7298186,-0.50734437
2026-04-28,0,0.035442915,0,270.71,259.81277,10.897217,4.025421,0.16098848
2026-04-29,0,0.034844786,0,269.94,260.2749,9.6651,3.5804622,-0.06854231
